"BehaviorSpace results (NetLogo 5.3.1)"
"Model 12 Marketing Networking in Micro Firms version promotores 2_Estrategiav19.nlogo"
"Promoters vs WoM_sales"
"09/19/2016 14:09:12:815 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","0","0","0"
,"1","0","0","1","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","2","0","0"
,"0","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0"
,"1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","2","0","1","2","0","0","0","0","0"
,"4","2","1","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0"
,"0","0","1","0","0","0","0","0","0","4","4","1","0","0","1","2","0","0","2","0","0","1","0","1","0","0","0","2","0","0"
,"0","0","1","0","0","0","0","0","0","4","3","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0"
,"1","0","1","0","0","0","0","0","0","12","12","3","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
,"2","0","1","2","0","0","0","0","0","10","9","4","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0"
,"2","1","1","0","0","0","3","0","0","0","0","4","1","0","0","1","0","0","0","0","0","1","0","0","2","0","0","3","0","0"
,"1","0","1","0","0","0","1","0","0","3","0","4","1","0","0","2","0","0","0","0","0","4","0","0","0","0","0","1","0","0"
,"1","0","1","1","0","0","0","0","0","3","3","4","0","0","0","1","0","0","1","0","0","4","4","1","1","0","0","1","0","0"
,"4","1","1","0","0","0","1","0","0","3","1","3","1","0","0","1","0","0","2","0","0","2","0","1","1","0","0","1","0","0"
,"0","0","0","1","0","0","1","0","0","7","7","4","1","0","0","0","0","0","1","0","0","0","0","1","3","0","0","1","0","0"
,"2","0","0","1","0","0","0","0","0","2","1","4","1","0","0","1","0","0","2","0","0","1","0","1","0","0","0","0","0","1"
,"2","0","0","1","0","0","2","0","0","0","0","3","0","0","0","2","0","0","1","0","0","2","0","1","0","0","0","0","0","1"
,"26","24","1","2","0","0","0","0","0","2","2","2","0","0","0","3","0","0","2","0","0","2","0","1","3","0","0","15","15","2"
,"12","9","3","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","2","0","0","3","0","1","0","0","0","12","10","4"
,"1","0","3","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","3","2","5"
,"4","2","3","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","1","2","0","0","1","1","5"
,"2","1","3","0","0","0","1","0","0","3","0","1","1","0","0","2","0","0","1","0","0","4","0","0","4","1","1","4","1","5"
,"5","4","3","0","0","0","3","0","0","1","0","1","3","0","0","2","0","0","3","0","0","2","0","0","0","0","1","1","1","5"
,"1","1","3","1","0","0","3","0","0","1","0","0","2","0","0","2","0","0","2","0","0","1","0","0","2","0","1","2","2","5"
,"4","4","3","2","0","0","3","0","0","1","0","0","3","0","0","1","0","0","2","0","0","2","0","0","2","0","1","1","0","4"
,"3","2","3","1","0","0","2","0","0","3","0","0","2","0","0","3","0","0","0","0","0","3","0","0","1","0","1","3","1","4"
,"3","1","2","0","0","0","0","0","0","6","3","1","0","0","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0","3"
,"1","0","0","2","0","0","19","16","1","3","0","1","0","0","0","4","0","0","0","0","0","2","0","0","4","0","1","0","0","1"
,"16","13","1","1","0","1","0","0","1","1","0","1","2","0","0","3","0","0","1","0","0","1","0","0","4","0","2","3","0","0"
,"13","10","3","20","20","2","6","5","1","0","0","1","1","0","0","3","0","0","1","0","0","2","0","0","3","1","2","5","0","0"
,"4","2","4","3","0","2","2","0","1","4","0","1","1","0","0","3","0","0","0","0","0","2","0","0","3","0","1","1","0","0"
,"10","3","4","3","2","2","11","7","1","1","0","1","1","0","0","1","0","0","18","16","1","0","0","0","4","0","1","0","0","0"
,"3","1","4","0","0","2","6","2","1","1","0","1","2","0","0","4","0","0","11","10","3","2","0","0","4","0","1","3","0","0"
,"1","0","4","4","3","2","6","4","2","3","0","1","2","0","0","1","0","0","3","2","4","1","0","0","1","0","1","0","0","0"
,"4","0","4","2","0","2","8","4","2","0","0","1","2","0","0","1","0","0","1","0","4","5","0","0","4","0","1","1","0","0"
,"2","0","4","2","1","2","3","2","2","2","0","0","1","0","0","1","0","0","3","1","4","1","1","1","4","0","1","6","3","1"
,"5","0","4","7","0","2","1","0","1","3","0","0","4","0","0","0","0","0","0","0","4","7","0","1","2","0","1","2","0","2"
,"3","0","3","1","0","1","3","0","1","3","0","0","3","0","1","3","0","0","1","1","4","1","0","1","3","0","0","7","5","2"
